Number;Type;Score;Turns;HasWon;Runtime
2764;RND;1252;137;false;3
2765;AI;21088;1022;true;140225
2766;RND;892;126;false;12
2767;AI;20380;974;true;136798
2768;RND;1076;119;false;36
2769;AI;20556;992;true;137754
2770;RND;552;89;false;6
2771;AI;16408;981;false;139825
2772;RND;208;54;false;2
2773;AI;20388;965;true;134138
2774;RND;812;120;false;12
2775;AI;20280;957;true;130961
2776;RND;724;126;false;6
2777;AI;20664;1001;true;136117
2778;RND;748;105;false;8
2779;AI;20452;973;true;137229
2780;RND;752;123;false;6
2781;AI;20276;956;true;134665
2782;RND;604;109;false;8
2783;AI;20460;969;true;137789
2784;RND;2364;227;false;7
2785;AI;16992;1027;false;139028
2786;RND;1688;222;false;8
2787;AI;20552;984;true;138671
2788;RND;1188;159;false;5
2789;AI;16340;959;false;134047
2790;RND;1436;171;false;2
2791;AI;20320;969;true;133088
2792;RND;268;56;false;1
2793;AI;16220;957;false;127220
2794;RND;1224;139;false;3
2795;AI;16696;995;false;135874
2796;RND;892;126;false;6
2797;AI;20292;972;true;136738
2798;RND;1288;171;false;14
2799;AI;20284;971;true;138904
2800;RND;236;53;false;1
2801;AI;21924;1066;true;146914
2802;RND;1012;134;false;6
2803;AI;20496;962;true;133790
2804;RND;1004;121;false;6
2805;AI;20356;973;true;138400
2806;RND;1128;149;false;8
2807;AI;20300;963;true;130143
2808;RND;476;81;false;16
2809;AI;20280;963;true;138598
2810;RND;1388;169;false;6
2811;AI;20312;967;true;138986
2812;RND;1336;171;false;6
2813;AI;20440;979;true;141513
2814;RND;764;113;false;5
2815;AI;20600;990;true;138390
2816;RND;1776;187;false;7
2817;AI;20188;951;true;136037
2818;RND;1132;151;false;11
2819;AI;20348;976;true;142398
2820;RND;1260;169;false;37
2821;AI;20864;993;true;128453
2822;RND;356;75;false;5
2823;AI;20452;984;true;139605
2824;RND;600;96;false;6
2825;AI;20276;951;true;131595
2826;RND;624;103;false;5
2827;AI;20140;939;true;135431
2828;RND;1368;163;false;7
2829;AI;20652;1002;true;143603
2830;RND;1180;147;false;20
2831;AI;20636;1002;true;133158
2832;RND;488;78;false;5
2833;AI;20220;958;true;138165
2834;RND;1036;128;false;11
2835;AI;20308;965;true;133186
2836;RND;1860;194;false;10
