Date: Fri Apr 25 2014 07:13:30 GMT+0200 (CEST) ;Type: AI ;Guid: 969f6ffd-2a01-4d5c-a07b-bdedb217ae34 ;Run: 6 ;Score: 12192 ;Turns: 728 ;WonStatus: false ;TimeTaken: 101376
Date: Fri Apr 25 2014 07:13:30 GMT+0200 (CEST) ;Type: RND ;Guid: 98dd73b3-c5e0-4d92-81f0-7fa94cc9db62 ;Run: 7 ;Score: 560 ;Turns: 93 ;WonStatus: false ;TimeTaken: 51
Date: Fri Apr 25 2014 07:14:02 GMT+0200 (CEST) ;Type: AI ;Guid: 40a7d36d-5c15-4e2b-9a1d-53ce68c2ad80 ;Run: 6 ;Score: 20272 ;Turns: 957 ;WonStatus: true ;TimeTaken: 131196
Date: Fri Apr 25 2014 07:14:02 GMT+0200 (CEST) ;Type: RND ;Guid: be197158-460b-4825-a2c3-e4935b541282 ;Run: 7 ;Score: 884 ;Turns: 129 ;WonStatus: false ;TimeTaken: 78
Date: Fri Apr 25 2014 07:14:04 GMT+0200 (CEST) ;Type: AI ;Guid: d801c7cd-e978-4dea-8929-903917359304 ;Run: 6 ;Score: 20644 ;Turns: 1006 ;WonStatus: true ;TimeTaken: 134826
Date: Fri Apr 25 2014 07:14:04 GMT+0200 (CEST) ;Type: RND ;Guid: 6c11edba-60f1-48df-ab60-dc8f1301500e ;Run: 7 ;Score: 1108 ;Turns: 135 ;WonStatus: false ;TimeTaken: 105
Date: Fri Apr 25 2014 07:15:06 GMT+0200 (CEST) ;Type: AI ;Guid: ece29af0-b3bb-469c-8688-7788196fc5de ;Run: 8 ;Score: 20156 ;Turns: 946 ;WonStatus: true ;TimeTaken: 132852
Date: Fri Apr 25 2014 07:15:06 GMT+0200 (CEST) ;Type: RND ;Guid: 141274fd-72f1-4d0f-a1a3-3e770155f939 ;Run: 9 ;Score: 732 ;Turns: 117 ;WonStatus: false ;TimeTaken: 72
Date: Fri Apr 25 2014 07:15:50 GMT+0200 (CEST) ;Type: AI ;Guid: 01f44600-0bfa-4281-9154-e202c6a59e14 ;Run: 8 ;Score: 16976 ;Turns: 1026 ;WonStatus: false ;TimeTaken: 139878
Date: Fri Apr 25 2014 07:15:50 GMT+0200 (CEST) ;Type: RND ;Guid: c08bc49b-2b2f-4572-b535-a66c1f9dcca6 ;Run: 9 ;Score: 980 ;Turns: 147 ;WonStatus: false ;TimeTaken: 74
Date: Fri Apr 25 2014 07:16:15 GMT+0200 (CEST) ;Type: AI ;Guid: 70133a19-b433-4e1b-a088-5d68b31acb9e ;Run: 8 ;Score: 16520 ;Turns: 988 ;WonStatus: false ;TimeTaken: 131354
Date: Fri Apr 25 2014 07:16:15 GMT+0200 (CEST) ;Type: RND ;Guid: 837be374-53d5-4e3f-b8fb-e48fa70a6c41 ;Run: 9 ;Score: 1316 ;Turns: 167 ;WonStatus: false ;TimeTaken: 80
Date: Fri Apr 25 2014 07:16:21 GMT+0200 (CEST) ;Type: AI ;Guid: 6f404096-5f2a-45eb-92da-05a7d10079f2 ;Run: 8 ;Score: 20276 ;Turns: 971 ;WonStatus: true ;TimeTaken: 139222
Date: Fri Apr 25 2014 07:16:21 GMT+0200 (CEST) ;Type: RND ;Guid: 544b2bd7-a0c4-4b35-956c-f33117ca135b ;Run: 9 ;Score: 240 ;Turns: 54 ;WonStatus: false ;TimeTaken: 59
Date: Fri Apr 25 2014 07:17:15 GMT+0200 (CEST) ;Type: AI ;Guid: 76af1bec-611b-44d9-a915-74b30f16743d ;Run: 10 ;Score: 20460 ;Turns: 967 ;WonStatus: true ;TimeTaken: 128775
Date: Fri Apr 25 2014 07:17:15 GMT+0200 (CEST) ;Type: RND ;Guid: dbee4acd-f8fa-4295-b81b-bdb2332d9c0e ;Run: 11 ;Score: 564 ;Turns: 101 ;WonStatus: false ;TimeTaken: 44
Date: Fri Apr 25 2014 07:18:03 GMT+0200 (CEST) ;Type: AI ;Guid: 7ce8ad1b-1bd8-4af3-8415-c7ef183008be ;Run: 10 ;Score: 20232 ;Turns: 952 ;WonStatus: true ;TimeTaken: 133828
Date: Fri Apr 25 2014 07:18:04 GMT+0200 (CEST) ;Type: RND ;Guid: 52b98ccb-85b9-42fe-8379-dd43acc495cc ;Run: 11 ;Score: 1888 ;Turns: 214 ;WonStatus: false ;TimeTaken: 145
Date: Fri Apr 25 2014 07:18:32 GMT+0200 (CEST) ;Type: AI ;Guid: 3cd47c66-2237-4c8f-b927-deeef1c2ca0c ;Run: 10 ;Score: 20236 ;Turns: 947 ;WonStatus: true ;TimeTaken: 130308
Date: Fri Apr 25 2014 07:18:32 GMT+0200 (CEST) ;Type: RND ;Guid: 070d4f37-f713-40f8-ad2a-2dc5d296ad87 ;Run: 11 ;Score: 972 ;Turns: 141 ;WonStatus: false ;TimeTaken: 71
Date: Fri Apr 25 2014 07:18:33 GMT+0200 (CEST) ;Type: AI ;Guid: a8189e2d-3c78-4fba-992b-0885b540008c ;Run: 10 ;Score: 20640 ;Turns: 999 ;WonStatus: true ;TimeTaken: 137916
Date: Fri Apr 25 2014 07:18:33 GMT+0200 (CEST) ;Type: RND ;Guid: f67c70ff-05ba-4aa2-b6b7-1e4822a1fc6c ;Run: 11 ;Score: 712 ;Turns: 121 ;WonStatus: false ;TimeTaken: 62
Date: Fri Apr 25 2014 07:19:27 GMT+0200 (CEST) ;Type: AI ;Guid: 9dac2853-4aaf-45bc-954a-5b7cec1d3796 ;Run: 12 ;Score: 16160 ;Turns: 946 ;WonStatus: false ;TimeTaken: 132468
Date: Fri Apr 25 2014 07:19:27 GMT+0200 (CEST) ;Type: RND ;Guid: bf22081a-54e3-4cb6-b160-9c2d37b548e3 ;Run: 13 ;Score: 1336 ;Turns: 158 ;WonStatus: false ;TimeTaken: 77
Date: Fri Apr 25 2014 07:20:17 GMT+0200 (CEST) ;Type: AI ;Guid: dfa37aef-f564-4bef-a77c-404c07a905c8 ;Run: 12 ;Score: 20444 ;Turns: 972 ;WonStatus: true ;TimeTaken: 133235
Date: Fri Apr 25 2014 07:20:17 GMT+0200 (CEST) ;Type: RND ;Guid: c820c49e-88da-4af4-ac78-2d8928398ac9 ;Run: 13 ;Score: 344 ;Turns: 73 ;WonStatus: false ;TimeTaken: 26
Date: Fri Apr 25 2014 07:20:48 GMT+0200 (CEST) ;Type: AI ;Guid: 34a30afb-7ebc-46ee-87d5-3d44de6f1474 ;Run: 12 ;Score: 20308 ;Turns: 969 ;WonStatus: true ;TimeTaken: 136855
Date: Fri Apr 25 2014 07:20:48 GMT+0200 (CEST) ;Type: RND ;Guid: 1eb2db7b-8c9b-4ed9-a92f-7f66f197cf8e ;Run: 13 ;Score: 632 ;Turns: 94 ;WonStatus: false ;TimeTaken: 35
Date: Fri Apr 25 2014 07:20:53 GMT+0200 (CEST) ;Type: AI ;Guid: 49907413-2ccf-4806-a3d2-23a389102cc4 ;Run: 12 ;Score: 20484 ;Turns: 981 ;WonStatus: true ;TimeTaken: 139700
Date: Fri Apr 25 2014 07:20:53 GMT+0200 (CEST) ;Type: RND ;Guid: d86cd986-2751-41c9-9cf7-d4ae7787f611 ;Run: 13 ;Score: 1336 ;Turns: 156 ;WonStatus: false ;TimeTaken: 55
Date: Fri Apr 25 2014 07:21:43 GMT+0200 (CEST) ;Type: AI ;Guid: f9758dae-a679-42cb-aa65-9be58640cde9 ;Run: 14 ;Score: 5392 ;Turns: 380 ;WonStatus: false ;TimeTaken: 54563
Date: Fri Apr 25 2014 07:21:43 GMT+0200 (CEST) ;Type: RND ;Guid: 9b62e5d5-44b7-4a25-a51c-6da8cf7505fa ;Run: 15 ;Score: 524 ;Turns: 97 ;WonStatus: false ;TimeTaken: 56
Date: Fri Apr 25 2014 07:21:49 GMT+0200 (CEST) ;Type: AI ;Guid: 30ae4ee0-997a-4aa7-8cb5-62f1fe13cc11 ;Run: 14 ;Score: 21176 ;Turns: 1042 ;WonStatus: true ;TimeTaken: 141383
Date: Fri Apr 25 2014 07:21:49 GMT+0200 (CEST) ;Type: RND ;Guid: 51f13ec5-9560-47d2-82dc-8de8872ca341 ;Run: 15 ;Score: 1044 ;Turns: 132 ;WonStatus: false ;TimeTaken: 64
Date: Fri Apr 25 2014 07:22:33 GMT+0200 (CEST) ;Type: AI ;Guid: b3c06e40-af63-4942-894c-ce232b0ce871 ;Run: 14 ;Score: 20328 ;Turns: 969 ;WonStatus: true ;TimeTaken: 135733
Date: Fri Apr 25 2014 07:22:33 GMT+0200 (CEST) ;Type: RND ;Guid: dd97bf52-c6f0-4c8e-a588-cc0623d52da7 ;Run: 15 ;Score: 716 ;Turns: 114 ;WonStatus: false ;TimeTaken: 42
Date: Fri Apr 25 2014 07:23:12 GMT+0200 (CEST) ;Type: AI ;Guid: a2ba7ebc-5372-4386-b12c-80169585b2c5 ;Run: 14 ;Score: 20476 ;Turns: 971 ;WonStatus: true ;TimeTaken: 139125
Date: Fri Apr 25 2014 07:23:12 GMT+0200 (CEST) ;Type: RND ;Guid: 6a160ba8-021e-4caf-b873-b5568e0b52aa ;Run: 15 ;Score: 656 ;Turns: 100 ;WonStatus: false ;TimeTaken: 38
Date: Fri Apr 25 2014 07:23:59 GMT+0200 (CEST) ;Type: AI ;Guid: 77232a07-d1ff-49ae-923c-6ef169256956 ;Run: 16 ;Score: 20584 ;Turns: 991 ;WonStatus: true ;TimeTaken: 136133
Date: Fri Apr 25 2014 07:23:59 GMT+0200 (CEST) ;Type: RND ;Guid: 40636505-2364-436e-8a7c-bcb4a2fd1601 ;Run: 17 ;Score: 2384 ;Turns: 241 ;WonStatus: false ;TimeTaken: 74
Date: Fri Apr 25 2014 07:24:02 GMT+0200 (CEST) ;Type: AI ;Guid: 1a542ec9-3c81-44e9-8be6-bc685b472824 ;Run: 16 ;Score: 16176 ;Turns: 955 ;WonStatus: false ;TimeTaken: 132966
